method_id	referenceid	criteria	probe_concentration	probeid	name_show	type	cpid	name_competitor	cell_id	experiment_method	Quantitative Method	cp_concentration	remark
LDD1395	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0575	Fragment13	LDCLL0021	.	Isotope tag	500 uM	.
LDD1396	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0575	Fragment13	LDCLL0042	.	Isotope tag	500 uM	.
LDD2192	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0575	Fragment13	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1469	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0575	Fragment13	LDCLC0021	.	Isotope tag	200 uM	.
LDD1470	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0575	Fragment13	LDCLC0042	.	Isotope tag	200 uM	.
LDD1393	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0574	Fragment12	LDCLL0021	.	Isotope tag	500 uM	.
LDD1394	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0574	Fragment12	LDCLL0042	.	Isotope tag	500 uM	.
LDD2191	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0574	Fragment12	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1468	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0574	Fragment12	LDCLC0021	.	Isotope tag	200 uM	.
LDD1391	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0573	Fragment11	LDCLL0021	.	Isotope tag	500 uM	.
LDD1392	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0573	Fragment11	LDCLL0042	.	Isotope tag	500 uM	.
LDD2190	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0573	Fragment11	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
